ACTL_FMLY_NUM,AGE,ARPU,AUTR_FAIL_MCNT,AUTR_FAIL_YN,AVG_CALL_FREQ,AVG_CALL_TIME,AVG_STLN_RATE,CB_GUIF_AMT,CB_GUIF_CNT,CNTT_LAMT_CNT,CNTT_LAMT_YN,CPT_LNIF_AMT,CPT_LNIF_BIG,CPT_LNIF_RATIO,CRDT_CARD,CRDT_CARD_CNT,CRDT_GRAD_DIFF,CRDT_LOAN_CNT,CRDT_OCCR_MDIF,CRLN_30OVDU_RATE,CRLN_OVDU_RATE,CRMM_OVDU_AMT,CTCD_OCCR_MDIF,CUST_FMLY_NUM,CUST_JOB_INCM,DTI,FAIL_COUNT,FMLY_CLAM_CNT,FMLY_GDINS_MNPREM,FMLY_PLPY_CNT,FMLY_SVINS_MNPREM,FMLY_TOT_PREM,FYCM_PAID_AMT,GDINS_MON_PREM,HIGH_AMT_RATE,HSHD_INFR_INCM,LAST_CHLD_AGE,LNIF_CNT,LOW_AMT_RATE,LT1Y_CLOD_RATE,LT1Y_CTLT_CNT,LT1Y_CTLT_YN,LT1Y_MXOD_AMT,LT1Y_PEOD_RATE_YN,LT1Y_SLOD_RATE,LT1Y_STLN_AMT,LTST_CRDT_GRAD,L_H_RATE,MATE_JOB_INCM,MAX_MON_PREM,MIN_CNTT_DATE,MOBL_FATY_PRC,MOBL_PRIN,MON_TLFE_AMT,NUM_DAY_SUSP,NUM_DAY_SUSP_YN,OVDU_HIGH_RATE,PREM_OVDU_RATE,SPART_LNIF_CNT,SPART_LNIF_YN,SPTCT_OCCR_MDIF,STLN_REMN_AMT,STRT_CRDT_GRAD,SVINS_MON_PREM,TEL_CNTT_QTR,TEL_OVDU_RATE,TLFE_UNPD_CNT,TOTAL_DELAY_RATE,TOT_CRLN_AMT,TOT_LNIF_AMT,TOT_LOAN_CNT,TOT_PREM,TOT_REPY_AMT,dv_0_1,dv_10_11,dv_10_9,dv_11_10,dv_11_12,dv_12_11,dv_12_13,dv_13_12,dv_13_14,dv_14_13,dv_14_15,dv_15_14,dv_15_16,dv_16_15,dv_16_17,dv_17_16,dv_17_18,dv_18_17,dv_18_19,dv_19_18,dv_19_20,dv_1_0,dv_1_2,dv_20_19,dv_20_21,dv_21_20,dv_21_22,dv_22_21,dv_22_23,dv_23_22,dv_23_24,dv_24_23,dv_24_25,dv_25_24,dv_25_26,dv_26_25,dv_26_27,dv_27_26,dv_27_28,dv_28_27,dv_28_29,dv_29_28,dv_29_30,dv_2_1,dv_2_3,dv_30_29,dv_30_31,dv_31_30,dv_31_32,dv_32_31,dv_32_33,dv_33_32,dv_33_34,dv_34_33,dv_34_35,dv_35_34,dv_35_36,dv_36_35,dv_36_37,dv_37_36,dv_37_38,dv_38_37,dv_38_39,dv_39_38,dv_39_40,dv_3_2,dv_3_4,dv_40_39,dv_40_41,dv_41_40,dv_41_42,dv_42_41,dv_42_43,dv_43_42,dv_43_44,dv_44_43,dv_44_45,dv_45_44,dv_45_46,dv_46_45,dv_46_47,dv_47_46,dv_47_48,dv_48_47,dv_48_49,dv_49_48,dv_49_50,dv_4_3,dv_4_5,dv_50_49,dv_50_51,dv_51_50,dv_51_52,dv_52_51,dv_52_53,dv_53_52,dv_53_54,dv_54_53,dv_54_55,dv_55_54,dv_55_56,dv_56_55,dv_56_57,dv_57_56,dv_57_58,dv_58_57,dv_58_59,dv_59_58,dv_59_60,dv_5_4,dv_5_6,dv_60_59,dv_60_61,dv_61_60,dv_61_62,dv_62_61,dv_62_63,dv_63_62,dv_63_64,dv_64_63,dv_64_65,dv_65_64,dv_65_66,dv_66_65,dv_66_67,dv_67_66,dv_67_68,dv_68_67,dv_68_69,dv_69_68,dv_69_70,dv_6_5,dv_6_7,dv_70_69,dv_70_71,dv_71_70,dv_71_72,dv_72_71,dv_72_73,dv_73_72,dv_7_6,dv_7_8,dv_8_7,dv_8_9,dv_9_10,dv_9_8,SEX_0,SEX_1,SEX_2,TEL_MBSP_GRAD_0,TEL_MBSP_GRAD_E,TEL_MBSP_GRAD_Q,TEL_MBSP_GRAD_R,TEL_MBSP_GRAD_W,CBPT_MBSP_YN_N,CBPT_MBSP_YN_Y,PAYM_METD_0,PAYM_METD_G,PAYM_METD_K,PAYM_METD_O,PAYM_METD_R,LINE_STUS_S,LINE_STUS_U,LT1Y_PEOD_RATE_C_0,LT1Y_PEOD_RATE_C_10,LT1Y_PEOD_RATE_C_20,LT1Y_PEOD_RATE_C_30,LT1Y_PEOD_RATE_C_40,LT1Y_PEOD_RATE_C_50,LT1Y_PEOD_RATE_C_60,LT1Y_PEOD_RATE_C_90,LT1Y_PEOD_RATE_C_91,OCCP_NAME_C_01,OCCP_NAME_C_02,OCCP_NAME_C_03,OCCP_NAME_C_04,OCCP_NAME_C_05,OCCP_NAME_C_06,OCCP_NAME_C_07,OCCP_NAME_C_08,OCCP_NAME_C_09,OCCP_NAME_C_10,OCCP_NAME_C_11,OCCP_NAME_C_12,OCCP_NAME_C_13,OCCP_NAME_C_14,OCCP_NAME_C_15,OCCP_NAME_C_16,MATE_OCCP_NAME_C_01,MATE_OCCP_NAME_C_02,MATE_OCCP_NAME_C_03,MATE_OCCP_NAME_C_04,MATE_OCCP_NAME_C_05,MATE_OCCP_NAME_C_06,MATE_OCCP_NAME_C_07,MATE_OCCP_NAME_C_08,MATE_OCCP_NAME_C_09,MATE_OCCP_NAME_C_10,MATE_OCCP_NAME_C_11,MATE_OCCP_NAME_C_12,MATE_OCCP_NAME_C_13,MATE_OCCP_NAME_C_14,MATE_OCCP_NAME_C_15,MATE_OCCP_NAME_C_16,TARGET
6,35,50000,7,1.0,240,410,0,0,0,0,0.0,15001,0,0.161,365,5,0,0,13,0,0,0,73,1,5600,16.607,7,0,0,0,110000,8000000,0,0,15001.83871,11500,24,3,0.16129934099999998,0,0,0.0,0,0.0,0,0,0,78001.00007000001,4500,110000,0,0,0,50000,0,0.0,0.0,18,1,1.0,13,0,0,110000,20112,0.0,0,18,0,93001,0.01,8000000,0,0.17142857142857146,0.0,0.0,0.0,0.0,15001.0,15001.0,0.0,0.0,0.161,0.0004410958904109589,2267.080745341615,73.0,0.0136986301369863,5.0,0.0,0.0,0.0,0.0,13.0,13.0,5.833333333333332,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,73.0,73.0,0.0136986301369863,0.00017857142857142857,5600.0,337.20720178238093,0.002965535714285714,2.3724285714285718,0.42150900222797616,7.0,0.0,0.0,0.0,0.0,1428.571428571429,7142.857142857143,0.0,0.0,110000.0,0.01375,72.72727272727273,8000000.0,0.0,0.0,0.0,0.0,15001.83871,1.3045077139130434,0.7665726996740921,479.16666666666674,0.0020869565217391303,8.0,0.125,18.59896005402775,0.053766447,0.16129934099999998,0.00014,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78001.00007000001,17.333555571111113,0.05769156800504596,0.040909090909090916,0.14285714285714285,0.0041666666666666675,24.444444444444446,110000.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,0.05555555555555555,1.0,240.0,0.5853658536585366,1.0,0.07692307692307693,13.0,13.0,0.0,0.0,0.0,0.0,110000.0,5.469371519490851,0.18283636363636366,20112.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,1.7083333333333333,410.0,93001.0,9300100.0,1.0752572552983303e-07,1.25e-09,800000000.0,8000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,55,30000,0,0.0,234,360,44,0,0,0,0.0,0,0,0.0,484,4,0,0,13,0,0,0,121,2,6500,2.7689999999999997,0,28,490000,11,0,109000000,10100000,490000,18002.0,11900,29,1,0.0,0,0,0.0,0,0.0,0,40000000,0,0.0,5400,1990000,0,600000,600000,40000,0,0.0,0.0,6,0,0.0,0,0,0,0,20114,0.0,0,6,0,18001,-0.4,99000000,0,0.07272727272727272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.0,121.0,0.008264462809917356,4.0,0.0,0.0,0.0,0.0,13.0,13.0,13.75,0.0018333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,121.0,60.5,0.016528925619834708,0.00030769230769230765,3250.0,2347.417840375587,0.000426,2.7689999999999997,0.0,0.0,28.0,5.714285714285714e-05,17500.0,44545.454545454544,545.4545454545455,30000.0,2.2448979591836734e-05,11.0,0.0,0.0,109000000.0,10.792079207920793,0.0926605504587156,20.612244897959183,0.048514851485148516,27.21919786690368,0.03673877551020408,1.5127731092436976,0.6610376624819464,410.3448275862069,0.0024369747899159666,29.0,0.03448275862068965,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000000.0,40000000.0,0.0,0.0,0.0,0.0,5400.0,0.00271356783919598,0.0,0.0,368.51851851851853,1990000.0,0.0,0.0,600000.0,1.0,1.0,15.0,0.06666666666666668,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,234.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20114.0,20114.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,1.5384615384615383,8.181818181818182,18001.0,18001.0,-2.2220987722904284e-05,-4.040404040404041e-09,99000000.0,99000000.0,0.0,0.12222222222222222,44.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,25,50000,10,1.0,308,995,70,0,0,0,0.0,6001,0,1.0,2,2,0,0,1,0,0,0,1,1,0,0.0,10,3,70000,1,0,10000000,400000,70000,6001.0,2700,0,2,1.0,0,0,0.0,0,1.0,10,0,0,0.000166639,0,70000,0,0,0,50000,0,0.0,0.0,18,1,1.0,1,2000000,0,0,20161,0.0,0,28,0,6001,0.41,10000000,0,0.12,0.0,0.0,0.0,0.0,6001.0,6001.0,0.0,0.0,1.0,0.5,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,8.333333333333334,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,3.333333333333333,0.3,4.285714285714285e-05,23333.33333333333,70000.0,2000.0,5000.0,1.4285714285714285e-05,1.0,0.0,0.0,10000000.0,25.0,0.04,5.7142857142857135,0.175,11.664722546242292,0.08572857142857143,2.2225925925925925,0.44992501249791705,2700.0,0.0,0.0,2.0,2.0,0.5,1.0,0.0002,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,10.0,10.0,0.0,0.0,0.0,0.0,0.000166639,0.000166639,0.0,0.0,0.1,0.003246753246753247,70000.0,70000.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,0.05555555555555555,1.0,308.0,0.30954773869346736,1.0,1.0,1.0,5e-07,2000000.0,2000000.0,0.0,0.0,0.0,0.0,20161.0,20161.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0,3.2305194805194803,14.214285714285715,6001.0,14636.58536585366,6.832194634227628e-05,4.1e-08,24390243.902439024,10000000.0,0.0,0.07035175879396985,70.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,60,50000,2,1.0,492,513,0,0,0,0,0.0,0,0,0.0,0,0,0,0,49,0,0,80000,0,2,0,0.0,2,4,60000,1,100000,20000000,300000,60000,9001.0,10400,0,2,0.0,0,0,0.0,170000,0.0,0,0,0,0.0,0,60000,0,0,250000,80000,0,0.0,2.125,0,1,1.0,49,0,0,0,20144,1.0,0,0,0,9001,0.49,3000000,0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,49.0,20.0,0.0012,0.0,0.0,0.0,0.0,80000.0,80000.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.5,2.0,6.666666666666667e-05,15000.0,60000.0,833.3333333333335,25000.0,1.6666666666666667e-05,1e-05,100000.0,0.005,200.0,66.66666666666667,0.015,5.0,0.2,6.665926008221309,0.15001666666666666,0.8654807692307692,1.1554271747583602,10400.0,0.0,0.0,2.0,2.0,0.0,0.0,4e-05,2.0,0.0,0.0,0.0,0.0,0.0,0.0,170000.0,170000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.002032520325203252,60000.0,60000.0,0.0,0.0,0.0,0.0,250000.0,3.125,0.32,80000.0,0.0,0.0,0.0,0.0,2.125,2.125,0.0,0.0,1.0,1.0,492.0,0.95906432748538,1.0,0.020408163265306117,49.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,20144.0,20144.0,4.964257347100874e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0426829268292683,513.0,9001.0,18369.38775510204,5.4438395733807346e-05,1.6333333333333334e-07,6122448.979591837,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5,55,60000,42,1.0,108,178,0,0,0,1,1.0,0,0,0.0,121,1,0,0,1,0,0,0,121,3,6600,20.455,42,22,790000,0,390000,27000000,1300000,490000,0.0,11200,29,2,0.0,0,1,1.0,0,1.0,0,0,0,0.0,4600,590000,0,300000,0,70000,0,0.0,0.0,40,1,1.0,121,0,0,0,20141,0.0,0,40,0,135001,0.49,6000000,0,0.09090909090909093,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,121.0,0.008264462809917356,1.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,0.0009166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,121.0,40.333333333333336,0.02479338842975207,0.0004545454545454546,2200.0,322.6594964556343,0.0030992424242424236,0.4870238095238095,2.053287704717673,1.9090909090909087,0.5238095238095238,2.7848101265822786e-05,35909.09090909091,790000.0,1090.909090909091,1428.571428571429,0.0,0.0,390000.0,0.014444444444444444,69.23076923076923,20.76923076923077,0.04814814814814815,2.653061224489796,0.3769230769230769,490000.0,0.0,0.0,11200.0,386.20689655172407,0.002589285714285714,14.5,0.06896551724137931,2.0,0.0,0.0,0.0007,42.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4600.0,0.0077966101694915265,0.023809523809523808,0.009259259259259259,128.2608695652174,590000.0,0.0,0.0,300000.0,300000.0,0.0,0.0,70000.0,70000.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.025,1.0,108.0,0.6067415730337079,1.0,0.008264462809917356,121.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,20141.0,20141.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,1.648148148148148,178.0,135001.0,275512.24489795923,3.62960274368338e-06,8.166666666666667e-08,12244897.959183674,6000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,20,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,2,2600,8.077,600,0,230000,1,490000,40000000,1900000,0,21002.0,2600,0,1,0.0,0,0,0.0,40000,0.0,0,0,0,0.0,0,110000,0,0,0,0,600,1.0,0.0,0,0,0.0,0,0,0,110000,20122,0.0,0,0,0,21001,-0.4,1000000,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0007692307692307692,1300.0,321.9016961743221,0.003106538461538461,0.013461666666666669,74.28500680945895,600.0,0.0,0.0,230000.0,230000.0,0.0,0.0,4.347826086956521e-06,2.0408163265306117e-06,490000.0,0.01225,81.63265306122447,21.05263157894737,0.0475,1900000.0,0.0,0.0,21002.0,8.077692307692308,0.1237977335491858,2600.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110000.0,110000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,0.0016666666666666668,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110000.0,5.466653414173543,0.18292727272727272,20122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21001.0,21001.0,-1.9046712061330415e-05,-4e-07,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,50,50000,0,0.0,236,983,0,0,0,0,0.0,0,0,0.0,242,2,0,2,13,0,53,0,121,4,10000,28.8,0,8,790000,0,6990000,999000000,4400000,260000,1.0,12400,29,1,0.0,0,0,0.0,0,1.0,0,0,0,0.0,0,6990000,199912,800000,550000,160000,0,0.0,0.0,4,0,0.0,0,0,0,990000,20153,0.0,0,4,40000000,288001,-0.4,109000000,40000000,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,121.0,0.008264462809917356,2.0,0.0,0.0,2.0,0.15384615384615385,6.5,13.0,10.0,0.001,0.0,0.0,53.0,53.0,0.0,0.0,121.0,30.25,0.033057851239669415,0.0004,2500.0,347.22222222222223,0.00288,28.8,0.0,0.0,8.0,1.0126582278481012e-05,98750.0,790000.0,1000.0,50000.0,0.0,0.0,6990000.0,0.006996996996996997,142.91845493562232,227.04545454545453,0.004404404404404405,16.923076923076927,0.05909090909090909,260000.0,3.846153846153846e-06,8.064516129032258e-05,12400.0,427.5862068965517,0.002338709677419355,29.0,0.03448275862068965,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6990000.0,34.96538476929849,0.028599713876967095,0.24989,4.001760774740886,1.4545454545454546,0.6875,3.4375,0.2909090909090909,160000.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,236.0,0.24008138351983724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,990000.0,49.124199870986956,0.020356565656565656,20153.0,0.0,0.0,0.0,0.0,4.0,1e-07,10000000.0,138.88840663747695,4.165254237288137,983.0,0.007200025,288001.0,-1.3888840663747697e-06,-3.6697247706422023e-09,109000000.0,2.725,0.3669724770642202,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,55,0,1,1.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,121,0,0,50000,0,1,5200,0.0,1,0,0,1,0,24000000,0,0,1.0,7500,0,1,0.0,0,0,0.0,50000,0.0,0,0,0,0.0,0,200000,0,0,0,0,0,0.0,0.0,6,0,0.0,0,0,0,0,20144,0.0,0,6,0,1,-0.8,24000000,0,0.03636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,121.0,27.5,55.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,1.0,0.0001923076923076923,5200.0,5200.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,24000000.0,24000000.0,0.0,0.0,0.0,0.0,1.0,0.00013333333333333334,7500.0,7500.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,200000.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20144.0,20144.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.8,-3.3333333333333334e-08,24000000.0,24000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
4,50,0,7,1.0,0,0,98,0,0,0,0.0,0,0,0.0,484,4,0,0,0,0,0,0,121,1,4600,7.8260000000000005,7,14,340000,0,0,22000000,3100000,340000,1.0,13900,29,1,0.0,0,0,0.0,0,0.0,0,5000000,0,0.0,8900,340000,0,0,0,0,0,0.0,0.0,5,0,0.0,0,0,0,0,20143,0.0,0,5,0,36001,-0.4,22000000,0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.0,121.0,0.008264462809917356,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,121.0,0.008264462809917356,0.0002173913043478261,4600.0,587.7843087145412,0.0017013043478260868,1.118,0.8944543828264759,0.5,2.0,4.11764705882353e-05,24285.714285714286,340000.0,0.0,0.0,0.0,0.0,0.0,0.0,22000000.0,7.096774193548387,0.1409090909090909,9.117647058823527,0.10967741935483873,340000.0,2.9411764705882355e-06,7.194244604316547e-05,13900.0,479.3103448275862,0.0020863309352517987,29.0,0.03448275862068965,1.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,5000000.0,0.0,0.0,0.0,0.0,8900.0,0.02617647058823529,0.14285714285714285,1.0,38.202247191011246,340000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20143.0,20143.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,36001.0,36001.0,-1.1110802477708953e-05,-1.818181818181818e-08,22000000.0,22000000.0,0.0,98.0,98.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,60,140000,1,1.0,302,564,0,980001,1,0,0.0,0,0,0.0,363,3,0,0,1,0,0,130000,121,2,4400,57.273,1,0,140000,1,110000,27000000,0,140000,252001.0714,9900,19,3,0.0,0,0,0.0,350000,1.0,0,0,0,0.0,5500,140000,0,900000,40000,200000,0,0.0,1.75,4,1,1.0,25,0,0,0,20132,0.65,0,4,0,252001,0.09,16000000,0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,121.0,0.008264462809917356,3.0,0.0,0.0,0.0,0.0,1.0,1.0,20.0,0.00042857142857142855,0.0,0.0,0.0,0.0,130000.0,1074.3801652892562,0.0009307692307692307,60.5,0.016528925619834708,0.0004545454545454546,2200.0,76.82503099191591,0.01301659090909091,57.273,0.017460234316344525,1.0,0.0,0.0,140000.0,140000.0,2333.333333333333,140000.0,7.142857142857143e-06,9.090909090909093e-06,110000.0,0.004074074074074075,245.45454545454547,27000000.0,0.0,0.0,140000.0,0.5555531935726524,1.8000076528571427,25.454653676767677,0.039285547259780416,521.0526315789474,0.0019191919191919192,6.333333333333332,0.15789473684210525,3.0,0.0,0.0,7.142857142857143e-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,350000.0,350000.0,2.8571428571428573e-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5500.0,0.039285714285714285,1.0,0.0033112582781456954,25.45454545454545,140000.0,0.0,0.0,900000.0,22.5,0.04444444444444445,0.2,5.0,200000.0,0.0,0.0,0.0,0.0,1.75,0.4375,2.2857142857142856,4.0,0.25,1.0,302.0,0.5354609929078015,1.0,0.04,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,20132.0,30972.307692307684,3.2286906417643554e-05,0.65,0.0,0.0,4.0,4.0,0.0,0.0,1.867549668874172,564.0,252001.0,2800011.111111111,3.5714143991492096e-07,5.625e-09,177777777.77777782,16000000.0,0.0,0.0,0.0,980001.0,980001.0,1.0,1.0204071220335487e-06,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
