start,end,start_station_no,start_station,end_station_no,end_station,bike_no,type
2017-10-01 15:23,2017-10-01 15:26,31038,Glebe Rd & 11th St N,31036,George Mason Dr & Wilson Blvd,W20529,Member
2017-10-01 15:42,2017-10-01 17:49,31036,George Mason Dr & Wilson Blvd,31036,George Mason Dr & Wilson Blvd,W20529,Casual
2017-10-02 6:37,2017-10-02 6:42,31036,George Mason Dr & Wilson Blvd,31037,Ballston Metro / N Stuart & 9th St N,W20529,Member
2017-10-02 8:56,2017-10-02 9:18,31037,Ballston Metro / N Stuart & 9th St N,31295,Potomac & M St NW,W20529,Member
2017-10-02 18:23,2017-10-02 18:45,31295,Potomac & M St NW,31230,Metro Center / 12th & G St NW,W20529,Member
2017-10-02 18:48,2017-10-02 19:10,31230,Metro Center / 12th & G St NW,31645,6th & K St NE,W20529,Member
2017-10-02 19:18,2017-10-02 19:31,31645,6th & K St NE,31262,11th & F St NW,W20529,Member
2017-10-02 19:37,2017-10-02 19:46,31262,11th & F St NW,31268,12th & U St NW,W20529,Member
2017-10-03 8:24,2017-10-03 8:32,31268,12th & U St NW,31267,17th St & Massachusetts Ave NW,W20529,Member
2017-10-03 18:17,2017-10-03 18:27,31303,Tenleytown / Wisconsin Ave & Albemarle St NW,31320,Nebraska Ave/AU East Campus,W20529,Member
2017-10-03 19:24,2017-10-03 19:52,31320,Nebraska Ave/AU East Campus,31281,8th & O St NW,W20529,Member
2017-10-03 20:17,2017-10-03 20:23,31281,8th & O St NW,31241,Thomas Circle,W20529,Casual
2017-10-03 20:45,2017-10-03 20:57,31241,Thomas Circle,31636,New Jersey Ave & N St NW/Dunbar HS,W20529,Member
2017-10-04 7:04,2017-10-04 7:13,31636,New Jersey Ave & N St NW/Dunbar HS,31623,Columbus Circle / Union Station,W20529,Member
2017-10-04 7:13,2017-10-04 7:21,31623,Columbus Circle / Union Station,31272,Washington & Independence Ave SW/HHS,W20529,Member
2017-10-04 14:22,2017-10-04 14:50,31272,Washington & Independence Ave SW/HHS,31247,Jefferson Dr & 14th St SW,W20529,Casual
2017-10-04 15:07,2017-10-04 15:44,31247,Jefferson Dr & 14th St SW,31240,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,W20529,Casual
2017-10-04 15:46,2017-10-04 16:32,31240,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31277,17th & G St NW,W20529,Casual
2017-10-04 16:34,2017-10-04 16:46,31277,17th & G St NW,31200,Massachusetts Ave & Dupont Circle NW,W20529,Casual
2017-10-04 17:26,2017-10-04 17:31,31200,Massachusetts Ave & Dupont Circle NW,31241,Thomas Circle,W20529,Member
2017-10-04 17:42,2017-10-04 17:50,31241,Thomas Circle,31278,18th & R St NW,W20529,Member
2017-10-05 7:49,2017-10-05 8:12,31406,14th & Upshur St NW,31238,14th & G St NW,W20529,Member
2017-10-05 8:26,2017-10-05 8:29,31238,14th & G St NW,31228,8th & H St NW,W20529,Member
2017-10-05 8:33,2017-10-05 8:38,31228,8th & H St NW,31219,10th St & Constitution Ave NW,W20529,Member
2017-10-05 16:35,2017-10-05 16:51,31219,10th St & Constitution Ave NW,31624,North Capitol St & F St NW,W20529,Member
2017-10-05 17:53,2017-10-05 18:16,31624,North Capitol St & F St NW,31051,Arlington Blvd & N Queen St,W20529,Member
2017-10-06 8:17,2017-10-06 8:38,31051,Arlington Blvd & N Queen St,31271,Constitution Ave & 2nd St NW/DOL,W20529,Member
2017-10-06 11:39,2017-10-06 11:50,31271,Constitution Ave & 2nd St NW/DOL,31503,Florida Ave & R St NW,W20529,Member
2017-10-06 12:59,2017-10-06 13:13,31503,Florida Ave & R St NW,31214,17th & Corcoran St NW,W20529,Member
2017-10-06 13:43,2017-10-06 14:14,31214,17th & Corcoran St NW,31243,4th & C St SW,W20529,Member
2017-10-06 14:28,2017-10-06 15:09,31243,4th & C St SW,31129,15th St & Pennsylvania Ave NW/Pershing Park,W20529,Casual
2017-10-06 15:50,2017-10-06 16:12,31129,15th St & Pennsylvania Ave NW/Pershing Park,31129,15th St & Pennsylvania Ave NW/Pershing Park,W20529,Casual
2017-10-06 16:32,2017-10-06 16:39,31129,15th St & Pennsylvania Ave NW/Pershing Park,31252,21st St & Pennsylvania Ave NW,W20529,Member
2017-10-06 16:44,2017-10-06 16:48,31252,21st St & Pennsylvania Ave NW,31220,US Dept of State / Virginia Ave & 21st St NW,W20529,Member
2017-10-06 16:53,2017-10-06 17:09,31220,US Dept of State / Virginia Ave & 21st St NW,31627,3rd & M St NE,W20529,Member
2017-10-07 11:38,2017-10-07 11:53,31627,3rd & M St NE,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,W20529,Member
2017-10-07 14:03,2017-10-07 14:07,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31605,3rd & D St SE,W20529,Member
2017-10-07 14:20,2017-10-07 14:27,31605,3rd & D St SE,31610,Eastern Market / 7th & North Carolina Ave SE,W20529,Casual
2017-10-07 14:30,2017-10-07 14:44,31610,Eastern Market / 7th & North Carolina Ave SE,31108,4th & M St SW,W20529,Member
2017-10-08 0:28,2017-10-08 0:30,31108,4th & M St SW,31609,Maine Ave & 7th St SW,W20529,Member
2017-10-08 11:16,2017-10-08 11:33,31609,Maine Ave & 7th St SW,31239,Rhode Island & Connecticut Ave NW,W20529,Member
2017-10-08 12:37,2017-10-08 13:01,31239,Rhode Island & Connecticut Ave NW,31290,17th St & Independence Ave SW,W20529,Casual
2017-10-08 13:30,2017-10-08 13:57,31290,17th St & Independence Ave SW,31258,Lincoln Memorial,W20529,Casual
2017-10-08 14:16,2017-10-08 15:07,31258,Lincoln Memorial,31277,17th & G St NW,W20529,Member
2017-10-08 15:23,2017-10-08 15:50,31277,17th & G St NW,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,W20529,Member
2017-10-08 15:54,2017-10-08 16:17,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31603,1st & M St NE,W20529,Casual
