Current Loan Amount,Credit Score,Years in current job,Annual Income,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens
12232.0,728.0,1.0,46643.0,777.39,18.0,10.0,12.0,0.0,6762.0,7946.0,0.0,0.0
25014.0,733.0,10.0,81099.0,892.09,26.7,34.93023209516961,14.0,0.0,35706.0,77961.0,0.0,0.0
16117.0,724.0,9.0,60438.0,1244.02,16.7,32.0,11.0,1.0,11275.0,14815.0,1.0,0.0
11716.0,740.0,3.0,34171.0,990.94,10.0,37.741129950931146,21.0,0.0,7009.0,43533.0,0.0,0.0
9789.0,NaN,10.0,47003.0,503.71,16.7,25.0,13.0,1.0,16913.0,19553.0,1.0,0.0
11911.0,742.0,2.0,70475.0,886.81,17.7,36.36977214199172,13.0,0.0,28212.0,59897.0,0.0,0.0
28988.0,742.0,3.0,58074.0,871.11,22.8,37.380949196040795,9.0,0.0,14423.0,54018.0,0.0,0.0
17705.0,NaN,3.0,49180.0,274.59,30.2,37.00556883909498,10.0,1.0,4252.0,25012.0,1.0,0.0
16812.0,736.0,7.0,50945.0,590.12,14.6,37.59296310436586,9.0,0.0,12903.0,15379.0,0.0,0.0
9796.0,NaN,1.0,58776.0,666.13,9.4,17.0,12.0,0.0,4939.0,15198.0,0.0,0.0
19838.0,701.0,6.0,79352.0,1051.41,14.3,6.0,13.0,0.0,15780.0,22511.0,0.0,0.0
18392.0,731.0,1.0,44959.0,569.48,15.4,37.457785061361925,7.0,0.0,7085.0,11750.0,0.0,0.0
29496.0,NaN,3.0,76690.0,1329.29,32.2,32.04893075416707,10.0,0.0,27643.0,44801.0,0.0,0.0
34276.0,NaN,10.0,141019.0,2632.36,19.9,14.0,19.0,0.0,20223.0,31747.0,0.0,0.0
18230.0,747.0,5.0,151920.0,778.59,26.4,30.29231079415866,9.0,0.0,5663.0,29039.0,0.0,0.0
19660.0,731.0,1.0,58980.0,973.17,15.6,38.112825891835776,5.0,0.0,23917.0,33829.0,0.0,0.0
24341.0,720.0,3.0,99392.0,2360.55,17.1,36.03838984788389,8.0,0.0,16604.0,21288.0,0.0,0.0
21350.0,732.0,10.0,58626.0,723.05,15.0,37.60164391272382,4.0,0.0,4085.0,4886.0,0.0,0.0
8792.0,733.0,10.0,19982.0,56.95,21.1,37.0473570830732,7.0,0.0,650.0,40651.0,0.0,0.0
10958.0,NaN,9.0,53812.0,995.52,15.3,33.22298691226337,13.0,0.0,12336.0,21123.0,0.0,0.0
16447.0,723.0,4.0,73425.0,770.96,10.5,36.11067205795798,7.0,0.0,9806.0,14592.0,0.0,0.0
28053.0,NaN,3.0,120228.0,1442.74,13.0,6.0,13.0,0.0,20466.0,30455.0,0.0,0.0
3947.0,735.0,10.0,88812.0,1147.16,22.4,66.0,16.0,1.0,17324.0,21309.0,0.0,0.0
4880.0,743.0,8.0,43916.0,472.09,13.7,37.78072398500217,10.0,0.0,15119.0,25581.0,0.0,0.0
17214.0,717.0,9.0,39068.0,319.38,11.1,37.430120685143436,6.0,0.0,8469.0,13274.0,0.0,0.0
8844.0,737.0,10.0,47563.0,1121.7,22.0,14.0,8.0,0.0,3534.0,4559.0,0.0,0.0
5927.0,718.0,5.0,20490.0,589.08,14.8,37.14653291808121,12.0,0.0,13206.0,28897.0,0.0,0.0
15621.0,744.0,4.0,108369.0,1164.97,15.8,38.0,15.0,0.0,13285.0,18351.0,0.0,0.0
11748.0,735.0,2.0,63635.0,662.86,16.9,43.298083648806255,10.0,1.0,8501.0,11939.0,1.0,0.0
19230.0,NaN,7.0,39316.0,750.28,13.0,34.16727066766881,11.0,0.0,19814.0,22775.0,0.0,0.0
24406.0,713.0,1.0,90207.0,1871.8,27.5,34.58255677823152,9.0,0.0,33341.0,35281.0,0.0,0.0
17309.0,NaN,10.0,49018.0,347.21,37.1,39.0,8.0,0.0,11035.0,16645.0,0.0,0.0
19124.0,728.0,10.0,116499.0,3621.16,20.6,10.0,15.0,0.0,275876.0,276152.0,0.0,0.0
9871.0,NaN,10.0,39484.0,1138.45,15.1,35.7137251945668,10.0,0.0,10879.0,16789.0,0.0,0.0
11029.0,NaN,4.0,34088.0,542.58,9.6,36.61522036360047,4.0,0.0,10573.0,11224.0,0.0,0.0
3125.0,NaN,1.0,52736.0,123.05,9.0,30.44385306062624,3.0,0.0,1640.0,1659.0,0.0,0.0
11143.0,NaN,2.0,110671.0,132.81,21.5,60.0,7.0,1.0,2739.0,6847.0,1.0,0.0
16000.0,716.0,1.0,60000.0,354.0,25.8,39.17012508393946,22.0,1.0,9743.0,25912.0,1.0,0.0
4225.0,NaN,2.0,21988.0,459.93,10.6,50.0,6.0,1.0,1279.0,3143.0,0.0,0.0
12388.0,726.0,8.0,39640.0,558.26,14.8,37.72054564947887,6.0,0.0,12666.0,14263.0,0.0,0.0
15260.0,729.0,3.0,63480.0,555.45,8.0,36.91570024223049,11.0,0.0,18822.0,37345.0,0.0,0.0
14780.0,724.0,10.0,73026.0,1211.02,22.0,35.28568890911899,8.0,0.0,13141.0,13603.0,0.0,0.0
