Date,AAPL,IBM,CSCO,MSFT
2004-01-02,21.28,91.550003,24.25,27.450001
2004-01-05,22.17,93.050003,24.77,28.139999
2004-01-06,22.09,93.059998,25.059999,28.24
2004-01-07,22.59,92.779999,25.559999,28.209999
2004-01-08,23.360001,93.040001,26.34,28.16
2004-01-09,23.000001,91.209999,26.48,27.66
2004-01-12,23.730001,91.550003,27.030001,27.57
2004-01-13,24.12,89.699997,26.889999,27.43
2004-01-14,24.2,90.309998,27.4,27.700001
2004-01-15,22.850001,94.019997,27.16,27.540001
2004-01-16,22.719999,95.32,29.129999,27.809999
2004-01-20,22.73,97.099998,28.860001,28.1
2004-01-21,22.61,97.699997,28.6,28.299999
2004-01-22,22.18,97.510002,28.219999,28.01
2004-01-23,22.560001,97.900002,27.33,28.48
2004-01-26,23.009999,99.849998,28.200001,28.799999
2004-01-27,23.070001,98.800003,27.5,28.25
2004-01-28,22.52,97.379997,26.780001,27.709999
2004-01-29,22.68,98.010002,25.959999,27.91
2004-01-30,22.560001,99.230003,25.709999,27.65
2004-02-02,22.32,99.389999,26.200001,27.4
2004-02-03,22.26,100,26.41,27.290001
2004-02-04,21.79,100.190002,24.08,27.01
2004-02-05,22.420001,98.860001,23.82,26.959999
2004-02-06,22.710001,98.940002,24.74,27.08
2004-02-09,22.67,98.949997,24.67,26.9
2004-02-10,22.98,99.610001,24.780001,27.02
2004-02-11,23.800001,99.959999,24.24,27.15
2004-02-12,23.730001,99.300003,24.049999,26.950001
2004-02-13,23.000001,99.709999,24.059999,26.59
2004-02-17,23.159999,99.370003,24.25,26.99
2004-02-18,23.26,98.419998,24.09,26.77
2004-02-19,22.47,97.800003,23.68,26.459999
2004-02-20,22.4,97.309998,23.190001,26.57
2004-02-23,22.190001,95.959999,22.75,26.610001
2004-02-24,22.359999,96.790001,23.049999,26.879999
2004-02-25,22.81,96.540001,23.58,26.700001
2004-02-26,23.04,96.790001,23.35,26.5
2004-02-27,23.92,96.5,23.16,26.530001
2004-03-01,24.020001,97.040001,23.530001,26.700001
2004-03-02,23.809999,96.82,23.030001,26.389999
2004-03-03,23.92,96.839996,22.700001,26.370001
2004-03-04,25.16,96.389999,23.190001,26.370001
2004-03-05,26.74,96.449997,22.889999,26.35
2004-03-08,25.999999,94.589996,22.360001,25.83
2004-03-09,27.099999,94.529999,22.120001,25.719999
2004-03-10,27.679999,93.059998,22.209999,25.370001
2004-03-11,27.150001,91.209999,22.34,25.09
2004-03-12,27.56,93.300003,23.129999,25.379999
2004-03-15,26.45,91.82,22.780001,25.16
2004-03-16,25.82,92.449997,23.120001,25.18
2004-03-17,26.19,93.389999,23.5,25.129999
2004-03-18,25.67,92.849998,23.17,24.889999
2004-03-19,25.859999,91.620003,22.5,24.629999
2004-03-22,25.859999,91.019997,22.35,24.5
2004-03-23,25.29,91.32,22.360001,24.15
2004-03-24,25.5,91.769997,22.67,24.41
2004-03-25,26.869999,92.389999,23.58,25.190001
2004-03-26,27.04,92.769997,23.4,25.030001
2004-03-29,27.91,92.68,23.85,25.309999
2004-03-30,27.92,92.32,23.93,25.200001
2004-03-31,27.04,91.839996,23.57,24.93
2004-04-01,27.11,92.370003,23.74,25.08
2004-04-02,27.5,94.199997,24.43,25.85
2004-04-05,28.320001,94.18,24.809999,25.950001
2004-04-06,27.829999,93.699997,24.65,25.799999
2004-04-07,27.309999,93.080002,24.24,25.59
2004-04-08,27.529999,93.120003,24.15,25.48
2004-04-12,28.040001,93.739998,24.129999,25.610001
2004-04-13,26.930001,93.040001,23.620001,25.450001
2004-04-14,26.640001,93.699997,23.26,25.51
2004-04-15,29.3,93.449997,22.82,25.219999
2004-04-16,29.18,92.279999,22.48,25.16
2004-04-19,28.350001,91.940002,22.860001,25.530001
2004-04-20,27.73,90.650002,22.110001,25.33
2004-04-21,27.73,91.260002,22.370001,25.450001
2004-04-22,27.78,90.739998,23.15,25.950001
2004-04-23,27.7,91.279999,23.32,27.540001
2004-04-26,27.13,90.43,23.139999,27.24
2004-04-27,26.940001,91.110001,22.940001,27.219999
2004-04-28,26.45,90.410004,22.370001,26.559999
2004-04-29,26.77,89.080002,21.91,26.48
2004-04-30,25.779999,88.169998,20.91,26.129999
2004-05-03,26.069999,88.019997,21.120001,26.35
2004-05-04,26.140001,89,21.370001,26.33
2004-05-05,26.650001,88.959999,21.26,26.299999
2004-05-06,26.579999,88.360001,21.5,26.120001
2004-05-07,26.67,88.190002,21.690001,25.780001
2004-05-10,26.280001,86.879997,21.620001,25.93
2004-05-11,27.14,87.129997,22.25,25.940001
2004-05-12,27.300001,86.809998,21.959999,25.940001
2004-05-13,27.19,87.190002,21.76,26.1
2004-05-14,27.06,86.410004,21.24,25.860001
2004-05-17,26.640001,85.529999,20.93,25.540001
2004-05-18,27.06,86.059998,21,25.83
2004-05-19,26.47,87.050003,21.360001,25.620001
2004-05-20,26.710001,87.419998,21.52,25.73
2004-05-21,27.11,87.129997,21.639999,25.889999
2004-05-24,27.34,87.099998,21.65,25.76
2004-05-25,28.409999,88.699997,22.24,26.1
2004-05-26,28.510002,88.349998,22.35,26.139999
2004-05-27,28.170001,88.589996,22.540001,26.190001
2004-05-28,28.060001,88.589996,22.370001,26.23
2004-06-01,28.060001,88.120003,22.24,26.110001
2004-06-02,28.920001,87.980003,22.41,26.129999
2004-06-03,28.399999,87.349998,22.35,25.889999
2004-06-04,28.780001,87.559998,22.780001,25.950001
2004-06-07,29.810001,88.639999,23.889999,26.43
2004-06-08,30.35,90.040001,23.74,26.6
2004-06-09,30.2,90.089996,23.559999,26.469999
2004-06-10,30.739999,90.459999,23.82,26.77
2004-06-14,30.119998,90.07,23.32,26.9
2004-06-15,30.690001,90.540001,23.639999,27.41
2004-06-16,32.739998,90.379997,23.879999,27.32
2004-06-17,32.81,90.440002,23.360001,27.77
2004-06-18,32.909999,90.059998,23.42,28.35
2004-06-21,32.329999,89.489998,22.870001,28.35
2004-06-22,33.000001,90.019997,23.219999,28.290001
2004-06-23,33.7,90.790001,23.969999,28.299999
2004-06-24,33.179998,89.989998,23.68,28.389999
2004-06-25,33.7,89.550003,23.43,28.57
2004-06-28,32.489999,88.709999,23.299999,28.280001
2004-06-29,32.5,88.290001,23.709999,28.5
2004-06-30,32.54,88.150002,23.700001,28.559999
2004-07-01,32.300002,87.5,23.110001,28.629999
2004-07-02,31.08,87.040001,22.950001,28.57
2004-07-06,30.950001,85.699997,22.370001,28.02
2004-07-07,30.390001,85.349998,22.42,28.1
2004-07-08,30.139999,83.650002,22.17,27.639999
